  name  ra         dec
  149   249.645696962779     37.7040009241157
  14a   220.362326619282     18.6157180312124
  14b   152.242811377331     19.1987335714487
  14c   196.866649644602     65.4055245673008
  14d   252.596412385247     23.7631954011582
  14e   352.548142413437     0.634360952025019
  14f   245.445901887946     14.8888454207221
  150   143.474157096338     43.0240416212951
  151   172.375922806723     50.6146154100652
  152   182.0378828841       51.2806751805614
  153   186.288554589427     38.1108367689936
  154   212.720438412002     37.6966683241085
  155   20.2730561250096     39.5443758229193
  156   167.592983959598     5.81498474791648
  157   159.901228497023     5.373657831405
  158   128.749829687381     3.72573043450324
  159   163.26060879613      5.52215028031678
  15a   194.154297962947     11.5115755883889
  15b   23.195693447885      8.20439911328778
  15c   132.33148815451      13.8033808465551
  15d   207.499112151358     20.6439976131818
  15e   227.20523216708      16.6376957122082
  15f   20.638955905389      18.8691979761349
  160   237.512778535799     23.8506661996242
  161   210.411868046259     24.302660599562
  162   240.935457766093     15.1916556124007
  163   224.922981824089     20.7017401896185
  164   247.017959909562     40.3155384226735
  165   136.731301634149     51.5335951292016
  166   48.6767857448248     -8.15899055320423
  167   48.9866724946325     -8.2301991392273
  168   192.153121823318     46.5090957075564
  169   192.81284021375      46.5977240799169
  16a   202.578291914848     66.8195431840732
  16b   166.608603486888     22.8895550201184
  16c   161.971772392923     22.2141470903814
  16d   156.972523486215     21.4202378199814
  16e   158.792831443391     21.8053334777883
  16f   135.241479369068     46.7376885267926
  170   124.883220847076     39.5193731723634
  171   322.943263357793     0.125707124000524
  172   323.917951372927     0.132053387138018
  173   319.832740037315     0.176860788236585
  174   115.231434746441     19.4590101776794
  175   143.986886008961     62.213797265017
  176   112.610055510654     41.7669407963419
  177   332.434273191268     17.69622253025
  178   123.128460727379     57.4930490295185
  179   223.055245217526     17.6728571466482
  17a   190.344715251944     42.0571234293011
  17b   46.8843627426043     37.2694973631526
  17c   162.541909337248     20.8576721155105
  17d   120.622976963898     23.6618586889889
  17e   149.778717141986     -2.78223116120202
  17f   5.36855031344135     4.4739943419721
  180   6.67001893639804     4.52699207123159
  181   232.520080230222     43.9746644256924
  182   216.477172626218     -1.22816814025967
  183   126.314312249326     30.583954989289
  184   126.156481285844     30.5050481027512
  185   177.813833863151     22.0579200831482
  186   122.905049122009     10.6922396188044
  187   200.398491436689     63.5598089510005
  188   184.373633906914     5.21072415069355
  189   118.637422376893     18.3280592196254
  18a   29.5283392500233     -4.4432828647552
  18b   26.475398252174      17.7998867046798
  18c   112.156639540238     41.6899474767141
  18d   132.645124113795     32.4166607077478
  18e   127.287313545466     32.4635998299762
  18f   142.72357683987      41.2178110953676
  190   130.211676780541     55.3626342171882
  191   156.743409488937     17.5369792291614
  192   44.0331573067709     1.12620809458152
  193   179.443223765317     6.26669636090116
  194   210.798962055926     24.2388301992007
  195   211.086564396152     24.0914372654877
  196   244.080038691817     13.9671812396136
  197   202.473095374517     25.5261906293275
  198   210.041905878902     24.2172462914664
  199   242.195656137184     25.9846510798486
  19a   252.099677976834     23.0548757091726
  19b   219.948422281063     55.7621484200339
  19c   181.534495136438     42.2212783391078
  19d   182.353024952099     42.0955200324598
  19e   183.300128175662     42.0950548472165
  19f   185.485661001148     42.0977906672506
  1a0   222.703986499455     41.0303300609796
  1a1   8.14834142352356     2.55531483099816
  1a2   16.3089085945346     2.59124735971528
  1a3   202.131527911007     64.9063793984538
  1a4   166.879512508801     0.371792416883101
  1a5   171.467480019455     0.228304614583684
  1a6   206.005476628383     2.46533367634496
  1a7   119.730621124626     23.1458961313736
  1a8   340.426685525738     1.11184953471758
  1a9   314.602724841461     0.484993586855037
  1aa   219.099688300678     41.6461842286224
  1ab   219.261685241583     41.6749499256643
  1ac   236.242984600558     -1.42792267573158
  1ad   126.203747613117     43.2244931711335
  1ae   313.660703277837     -6.9924013149249
  1af   12.7690122991115     4.04287827562147
  1b0   232.611661643303     20.3416228870296
  1b1   4.88417115739338     27.1893425132997
  1b2   184.346569908363     40.9160208156825
  1b3   349.330639858487     0.301988758955417
  1b4   126.914106705471     37.6991373318827
  1b5   203.732471958077     56.8742480824243
  1b6   135.614140427763     40.3154807726768
  1b7   193.905454827843     29.8114911989072
  1b8   206.996710959285     28.2134935077835
  1b9   346.288513346453     20.256651410758
  1ba   229.614070517589     45.6767367598906
  1bb   124.860003556158     29.4337814031294
  1bc   112.526429009435     41.6686740309024
  1bd   113.212652899133     41.7757099369918
  1be   33.267029330555      5.93725045742227
  1bf   35.0727287848223     5.755398331593
  1c0   118.011615077063     18.1150338148335
  1c1   180.463330292469     51.2812545477567
  1c2   188.302986770104     51.3107329275885
